MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
DZD1-1;Flesh Slicer;1830000;160000000;152.77;87.34;2548.56;1120.68;111.27;63500;1170;3.32;152.85;1506.81
DZD1-2;Flesh Slicer;1410000;103000000;170.1;73.62;2231.62;796.32;164.43;61600;685;10.62;132.5;440.44
DZD1-4A;Flesh Slicer;2830000;296000000;216.56;104.67;2488.69;1617.95;192;149000;1480;6.64;155.19;2209.57
DZD1-4B;Flesh Slicer;2970000;327000000;222.44;110.26;2529.04;1522.95;264.59;238000;1635;20.83;150.67;1681.39
DZD1-5;Flesh Slicer;5130000;400000000;160.04;78;5959.28;1130.4;142.25;82000;1370;2.56;167.43;4567.77
DZD2-1;Flesh Slicer;1790000;85600000;114.52;47.71;2324.54;1094.37;103.23;46500;1030;4.39;166.14;8862.49
DZD4-2;Flesh Slicer;448000;23500000;116.14;52.54;949.43;555.98;74.66;14700;490;2.37;149.7;675.27
DZD4-3A;Flesh Slicer;764000;52700000;153.01;68.97;1727.03;626.35;151.74;51800;895;7.45;144.81;912.59
DZD4-3B;Flesh Slicer;592000;41200000;127.31;60.75;1249.72;584.48;93.48;29100;640;3.8;142.59;706.44
DZD4-4;Flesh Slicer;289000;25400000;158.55;87.85;883.85;383.25;103.53;21000;460;2.28;116.45;261.55
DZD4-5;Flesh Slicer;677000;20000000;77.34;29.56;1201.15;704.14;70.82;24000;915;3.55;163.9;2475.28
DZD4-6;Flesh Slicer;1010000;31100000;74.19;30.86;1371.11;1096.13;66.85;34500;950;2.58;170.41;2560.81
DZD4-7;Flesh Slicer;314000;6980000;60.97;22.26;829.14;486.13;59.4;11800;430;1.95;162.95;700.08
DZD4-8;Flesh Slicer;1170000;51400000;118.13;44.02;1895.51;896.04;107.78;49200;850;3.77;153.95;1187.57
DZD4-9;Flesh Slicer;2250000;154000000;136.96;68.23;2407.39;1052.44;131.15;95200;1290;3.43;157.75;1757.2
DZD4-10;Flesh Slicer;1240000;70700000;105.36;44.83;1710.68;811.54;99.44;52100;850;3.05;158.21;1214.95
DZD4-11;Flesh Slicer;987000;42800000;112.45;43.29;2740.38;653.08;117.28;37000;665;5.66;151.74;796.71
DZD4-12;Flesh Slicer;2140000;183000000;222.28;85.69;2389.2;1244.71;206.03;132000;1345;3.05;144.37;1334.24
DZD4-14;Flesh Slicer;374000;5480000;54.5;14.65;1481.22;325.52;52.48;6790;340;2.61;156.93;536.03
DZD4-15A;Flesh Slicer;358000;5110000;47.86;14.24;1467.33;307.3;49.77;8470;360;1.99;162.63;608.61
DZD4-15B;Flesh Slicer;389000;5860000;61.15;15.05;1495.12;343.75;55.19;5110;320;3.22;151.23;463.46
DZD6-1;Flesh Slicer;1240000;60300000;117.85;48.43;2870.47;590.17;127.54;47700;735;4.38;139.31;569.75
DZD7-1;Flesh Slicer;701000;26200000;92.08;37.45;1164.13;809.66;92.33;39200;830;2.11;153.91;1307.27
DZD7-2;Flesh Slicer;206000;5400000;76.29;26.15;612.26;363.18;61.48;8560;315;2.9;144.95;271.17
DZD7-3;Flesh Slicer;516000;14200000;73.54;26.83;1157.82;573.18;68.59;20100;550;2.57;155.02;925.25
DZD7-4;Flesh Slicer;642000;10900000;52.26;16.89;1697.08;546.69;51.95;12600;525;2.68;166.2;1197.31
DZD8-1A;Flesh Slicer;550000;24700000;83.25;44.86;1106.38;643.35;98.37;49000;870;3.22;157.39;1114.74
DZD8-1B;Flesh Slicer;247000;9970000;77.66;40.28;615.02;496.32;53.1;12700;460;2.68;157.58;635.73
DZD8-1C;Flesh Slicer;284000;13000000;98.42;45.96;723.07;454.13;77.1;14400;380;1.91;153.3;470.14
DZB8-2A;Flesh Slicer;279000;4930000;47.95;17.67;810.57;567.17;43.22;9540;580;3.04;152.04;3683.77
DZB8-2B;Flesh Slicer;33800;766000;43.82;22.64;223.56;191.42;35.12;3950;180;1.96;145.23;166.97
WSN1-1;Flesh Slicer;2290000;108000000;137.79;47.37;2387.33;1423.28;147.28;114000;1780;7.22;164.73;3786.26
WSN2-1;Flesh Slicer;893000;74200000;224.92;83.04;1141.91;1049.63;216.63;135000;1240;8.88;141.16;1018.87
WSN2-2;Flesh Slicer;485000;24800000;127.99;51.17;1099.15;549.96;139.35;71500;975;3.64;146.42;894.66
WSN2-3;Flesh Slicer;2060000;93600000;123.09;45.42;2018.95;1454.91;115.94;95100;1515;3.85;159.42;3366.62
WSH1-2;Flesh Slicer;2920000;207000000;147.21;70.84;1839.34;2112.37;162.62;221000;2055;6.74;164.65;4340.53
WSH1-3;Flesh Slicer;4300000;578000000;381.85;134.57;3136.3;1725.36;401.54;392000;2070;12.81;134.1;1417.46
WSH1-4;Flesh Slicer;4150000;478000000;324.23;115.22;3393.46;1844.67;331.9;277000;1675;9.69;132.61;1150.83
WSH1-5;Flesh Slicer;2790000;173000000;150.47;61.99;2625.05;1163.29;158.42;106000;1610;7.07;156.65;4149.35
WSH1-7;Flesh Slicer;872000;59600000;156.06;68.35;1620.73;974.32;163.27;90800;1190;5.51;150.5;1202.62
WSH1-8;Flesh Slicer;1540000;77700000;140.64;50.57;3277.93;789.47;144.03;50200;955;4.3;147;972.05
WSH1-9;Flesh Slicer;1980000;116000000;141.38;58.48;2514.72;988.3;133.29;69900;1195;2.57;158.49;1764.41
WSH1-10;Flesh Slicer;3860000;261000000;188.01;67.72;3216.49;1558.85;211.5;188000;1720;8.24;153.13;1951.53
WSH1-13;Flesh Slicer;958000;52000000;155.48;54.24;1108.25;1104.31;121.18;54500;900;6.61;146.92;859.89
WSH3-1;Flesh Slicer;1110000;38900000;109.27;35.16;4626.59;479.27;119.99;25100;545;7.47;141.61;475.08
WST1-1;Flesh Slicer;1390000;41100000;69.61;29.49;1913.9;761.12;70.05;26900;900;1.78;148.18;3112.31
WST1-2A;Flesh Slicer;350000;12600000;85.36;36.15;800.61;583.42;87.66;29600;620;2.64;149.95;645.39
WST1-2B;Flesh Slicer;290000;9770000;89.02;33.71;742.06;468.93;92.72;24600;670;2.26;153.56;713.52
